layer	state_id	witness_q	source
0	8732	0,0,1,1,1,1,5,6,6,3,3,3,3,7,7,8,8,9	multi-jump_exact
0	9013	1,1,1,1,1,1,3,3,1,2,6,7,7,7,7,7,7,7	complete_primary_enumeration
0	9084	1,1,1,1,1,1,3,3,3,1,5,7,7,7,7,7,7,7	old-feasible_bfs
0	9104	1,1,1,1,1,1,3,3,3,6,7,7,7,7,7,7,7,1	old-feasible_bfs
0	9105	1,1,1,1,1,1,3,3,1,3,6,7,7,7,7,7,7,7	old-feasible_bfs
0	9106	1,1,1,1,1,1,3,3,3,1,6,7,7,7,7,7,7,7	old-feasible_bfs
0	9107	0,1,1,1,1,1,3,3,3,3,6,6,7,7,7,7,7,7	old-feasible_bfs
0	9169	1,1,1,1,1,1,3,3,3,1,6,7,7,7,7,7,7,7	old-feasible_bfs
0	9190	0,0,1,1,1,1,3,3,5,2,3,3,7,8,8,8,8,8	neighbourhood_exact
0	9338	0,0,1,1,1,1,3,3,3,2,7,7,7,8,8,8,8,3	old-feasible_bfs
0	9339	0,0,1,1,1,1,3,3,2,3,3,7,7,7,8,8,8,8	old-feasible_bfs
0	9340	0,1,1,1,1,1,3,3,3,2,2,7,7,7,8,8,8,8	neighbourhood_exact
0	9552	1,1,1,1,1,1,3,3,1,2,6,7,7,7,7,7,7,7	complete_primary_enumeration
0	9571	1,1,1,1,1,1,3,3,1,6,7,7,7,7,7,7,7,3	old-feasible_bfs
0	9572	1,1,1,1,1,1,3,3,1,3,6,7,7,7,7,7,7,7	old-feasible_bfs
0	9573	0,1,1,1,1,1,3,3,3,3,6,6,7,7,7,7,7,7	old-feasible_bfs
0	9714	0,0,1,1,1,1,3,3,2,3,3,7,7,7,8,8,8,8	neighbourhood_exact
0	9851	0,1,1,1,1,1,3,3,2,3,3,7,7,7,8,8,8,8	neighbourhood_exact
0	10043	0,0,1,1,1,1,3,3,3,3,6,7,7,7,7,7,7,8	complete_primary_enumeration
0	10067	0,0,1,1,1,1,3,3,2,3,3,7,8,8,8,8,8,8	complete_primary_enumeration
0	10068	0,1,1,1,1,1,3,3,3,3,7,7,7,7,7,7,7,7	neighbourhood_exact
0	10210	0,0,1,1,1,1,3,3,2,3,3,7,8,8,8,8,8,8	complete_primary_enumeration
0	10276	0,1,1,1,1,1,3,3,2,3,3,7,8,8,8,8,8,8	neighbourhood_exact
0	10509	0,1,1,1,1,1,3,3,3,3,7,8,8,8,8,8,8,3	neighbourhood_exact
0	10510	0,1,1,1,1,1,3,3,3,3,3,7,8,8,8,8,8,8	neighbourhood_exact
0	10845	1,1,2,2,2,2,2,4,5,6,6,6,6,6,6,6,10,4	neighbourhood_exact
0	11079	1,1,1,1,1,2,2,1,3,7,7,7,7,7,7,7,7,8	complete_primary_enumeration
1	18	0,0,1,1,1,1,1,1,3,3,3,3,3,6,6,6,6,8,8	neighbourhood_exact
