# Hand-classified n=30 Delta=16 m=225 demand frontier: Q>=18
# Derived by the clipping and preimage tables; no historical list used.
3 3 4 4 4 5 5 5 5 5 5 5 5 | Q=18
3 3 4 5 5 5 5 5 5 5 5 5 5 | Q=18
3 3 5 5 5 5 5 5 5 5 5 5 5 | Q=18
3 4 4 4 4 4 4 4 4 4 4 4 4 | Q=20
3 4 4 4 4 4 4 4 4 5 5 5 5 | Q=18
3 4 4 4 4 4 4 4 5 5 5 5 5 | Q=19
3 4 4 4 4 4 4 5 5 5 5 5 5 | Q=19
3 4 4 4 4 4 5 5 5 5 5 5 5 | Q=19
3 4 4 5 5 5 5 5 5 5 5 5 5 | Q=18
3 5 5 5 5 5 5 5 5 5 5 5 5 | Q=18
4 4 4 4 4 4 4 4 4 4 4 4 4 | Q=20
4 4 4 4 4 4 4 4 4 4 5 5 5 | Q=18
4 4 4 4 4 4 4 4 4 5 5 5 5 | Q=18
4 4 4 4 4 4 4 4 5 5 5 5 5 | Q=19
4 4 4 4 4 4 4 5 5 5 5 5 5 | Q=19
4 4 4 4 4 4 5 5 5 5 5 5 5 | Q=18
4 4 4 4 4 5 5 5 5 5 5 5 5 | Q=18
4 4 4 4 5 5 5 5 5 5 5 5 5 | Q=18
4 4 4 5 5 5 5 5 5 5 5 5 5 | Q=18
4 4 5 5 5 5 5 5 5 5 5 5 5 | Q=18
4 5 5 5 5 5 5 5 5 5 5 5 5 | Q=19
5 5 5 5 5 5 5 5 5 5 5 5 5 | Q=19
